algorithm,attempts,avg_cpu_percent,avg_memory_mb,ciphertext_bytes,cpu_system_micros,cpu_user_micros,decapsulate_time_ms,decrypt_time_ms,disk_io_bytes,encapsulate_time_ms,encrypt_time_ms,error,keygen_time_ms,latency_micros,max_rss_bytes,net_rx_bytes,net_tx_bytes,operation,parameter_set,public_key_bytes,secret_key_bytes,sign_time_ms,signature_bytes,storage_overhead_pct,throughput_ops_per_sec,timestamp_seconds_utc,verify_time_ms
Dilithium3,1,,1.96484375,,107,960,,,0,,,,,0,2060288,38878234753,24741128822,Verify,,1952,4000,,3293,,0.0,1762751331,0.0
ECDSA-P256,1,,1.96484375,,117,960,,,0,,,,0.0,0,2060288,38878234753,24741128822,Keygen,,65,32,,72,,0.0,1762751331,
ECDSA-P256,1,,1.96484375,,125,960,,,0,,,,,0,2060288,38878234753,24741128822,Sign,,65,32,0.0,72,,0.0,1762751331,
ECDSA-P256,1,,1.96484375,,134,960,,,0,,,,,0,2060288,38878234753,24741128822,Verify,,65,32,,72,,0.0,1762751331,0.0
AES-GCM-256,1,,1.96484375,1040,146,960,,,0,,0.002926,,,2,2060288,38878234753,24741128822,BulkEncrypt,,,,,,101.5625,500000.0,1762751331,
AES-GCM-256,1,,1.96484375,1040,158,960,,0.0020940000000000004,0,,,,,2,2060288,38878234753,24741128822,BulkDecrypt,,,,,,101.5625,500000.0,1762751331,
Kyber512,1,,1.94921875,,0,731,,,0,,,,0.004,4,2043904,38878234753,24741128822,Keygen,,800,1632,,0,,250000.0,1762751331,
Kyber512,1,,1.94921875,,0,760,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.94921875,,0,772,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.94921875,,0,782,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,800,1632,,0,,0.0,1762751331,
Kyber512,1,,1.94921875,,0,791,0.0,,0,,,,,0,2043904,38878234753,24741128822,Decapsulate,,800,1632,,0,,0.0,1762751331,
Kyber768,1,,1.94921875,,0,802,,,0,,,,0.001,1,2043904,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,1.94921875,,0,813,,,0,,,,0.001,1,2043904,38878234753,24741128822,Keygen,,1184,2400,,0,,1000000.0,1762751331,
Kyber768,1,,1.94921875,,0,823,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.94921875,,0,831,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,1184,2400,,0,,0.0,1762751331,
Kyber768,1,,1.94921875,,0,840,0.0,,0,,,,,0,2043904,38878234753,24741128822,Decapsulate,,1184,2400,,0,,0.0,1762751331,
RSA-2048,1,,1.94921875,,0,850,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.94921875,,0,860,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,294,1192,,256,,0.0,1762751331,
RSA-2048,1,,1.94921875,,0,869,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,294,1192,,256,,0.0,1762751331,
ECDHE-P256,1,,1.94921875,,0,881,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.94921875,,0,890,,,0,,,,0.0,0,2043904,38878234753,24741128822,Keygen,,65,32,,0,,0.0,1762751331,
ECDHE-P256,1,,1.94921875,,0,899,,,0,0.0,,,,0,2043904,38878234753,24741128822,Encapsulate,,65,32,,0,,0.0,1762751331,
Dilithium2,1,,1.94921875,,0,912,,,0,,,,0.002,2,2043904,38878234753,24741128822,Keygen,,1312,2528,,2420,,500000.0,1762751331,
